Titre;Prix;Année;Kilometrage;Boite;Carburant;Marque;Modele;Ville;Image;Lien
Hyundai i10;142000;2025;30 000 - 34 999;Automatique;Diesel;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10141898435?t=images;https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Hyundai_i10_57158847.htm
Grand i10 automatique Première main;139000;2024;15 000 - 19 999;Automatique;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142669840?t=images;https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Grand_i10_automatique_Première_main_57265575.htm
Hyundai i10 Essence Manuelle 2012 à Casablanca;68000;2012;160 000 - 169 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142632253?t=images;https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Hyundai_i10_Essence_Manuelle_2012_à_Casablanca_57265300.htm
Hyundai Grand i10 Automatique 2020;130000;2020;45 000 - 49 999;Automatique;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10138262322?t=images;https://www.avito.ma/fr/hassan/voitures_d_occasion/Hyundai_Grand_i10_Automatique_2020_56849436.htm
Hyundai i10 Essence Manuelle 2011 à Taza;64000;2011;100 000 - 109 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142597395?t=images;https://www.avito.ma/fr/taza/voitures_d_occasion/Hyundai_i10_Essence_Manuelle_2011_à_Taza_57261847.htm
Hyundaii10;58000;2009;0 - 4 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142591216?t=images;https://www.avito.ma/fr/tabriquet/voitures_d_occasion/Hyundaii10_57261167.htm
Hyundai i10;0;2016;70 000 - 74 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142579319?t=images;https://www.avito.ma/fr/amicales/voitures_d_occasion/Hyundai_i10_57259768.htm
Hyundai Grand i10 Automatique;126000;2020;45 000 - 49 999;Automatique;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10141034275?t=images;https://www.avito.ma/fr/hay_riad/voitures_d_occasion/Hyundai_Grand_i10_Automatique_57118764.htm
Hyundai i10;82000;2017;50 000 - 54 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142574267?t=images;https://www.avito.ma/fr/boujdade/voitures_d_occasion/Hyundai_i10_57259208.htm
Hyundai i10;117000;2022;25 000 - 29 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142554897?t=images;https://www.avito.ma/fr/agdal/voitures_d_occasion/Hyundai_i10_57257448.htm
Hyundai i10 2012 170000km;58000;2012;170 000 - 179 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142482226?t=images;https://www.avito.ma/fr/aakkari/voitures_d_occasion/Hyundai_i10_2012_170000km_57250031.htm
Hyundai i10 Essence Manuelle 2012 à Rabat;60000;2012;140 000 - 149 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142481701?t=images;https://www.avito.ma/fr/agdal/voitures_d_occasion/Hyundai_i10_Essence_Manuelle_2012_à_Rabat_57250013.htm
Hyundai i10 Essence Manuelle 2012 à Rabat;62000;2012;140 000 - 149 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142480323?t=images;https://www.avito.ma/fr/haut_agdal/voitures_d_occasion/Hyundai_i10_Essence_Manuelle_2012_à_Rabat_57249827.htm
Voiture économique et très bonne;75000;2016;130 000 - 139 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142479869?t=images;https://www.avito.ma/fr/alliance/voitures_d_occasion/Voiture_économique_et_très_bonne_57249795.htm
